customer_id,signup_date,industry,segment
1,2021-04-13,Healthcare,Enterprise
2,2022-03-12,Finance,Enterprise
3,2023-05-11,Finance,SMB
4,2021-09-28,Healthcare,Enterprise
5,2021-04-17,Finance,Enterprise
6,2021-03-13,Healthcare,Enterprise
7,2022-12-02,Finance,Enterprise
8,2021-01-21,Healthcare,Mid
9,2022-09-07,Healthcare,SMB
10,2021-05-02,Finance,Enterprise
11,2022-04-12,Finance,Enterprise
12,2021-08-03,Finance,Enterprise
13,2021-11-27,Tech,SMB
14,2022-04-04,Tech,Mid
15,2021-03-29,Tech,SMB
16,2022-01-08,Healthcare,Mid
17,2021-04-10,Finance,Enterprise
18,2023-05-22,Healthcare,Enterprise
19,2022-10-26,Tech,SMB
20,2021-05-11,Finance,SMB
21,2022-10-24,Healthcare,Mid
22,2021-11-05,Finance,Mid
23,2023-02-09,Healthcare,SMB
24,2021-12-10,Finance,Mid
25,2022-05-07,Tech,SMB
26,2022-02-18,Tech,Mid
27,2023-03-17,Finance,SMB
28,2022-01-21,Healthcare,SMB
29,2021-07-11,Tech,SMB
30,2023-08-14,Tech,Mid
31,2021-10-04,Tech,Mid
32,2021-06-10,Finance,Mid
33,2022-04-05,Finance,SMB
34,2021-11-10,Healthcare,Mid
35,2021-01-22,Healthcare,Mid
36,2021-09-10,Healthcare,SMB
37,2023-01-18,Finance,Enterprise
38,2023-05-07,Finance,SMB
39,2022-07-15,Healthcare,Mid
40,2022-04-20,Healthcare,SMB
41,2021-02-28,Finance,Enterprise
42,2022-05-26,Healthcare,SMB
43,2022-11-13,Tech,Mid
44,2022-04-21,Finance,Enterprise
45,2022-12-01,Healthcare,Mid
46,2023-09-03,Finance,Enterprise
47,2023-02-22,Tech,Enterprise
48,2021-07-09,Finance,SMB
49,2023-08-16,Finance,SMB
50,2022-11-18,Finance,Mid
51,2023-08-16,Finance,SMB
52,2022-07-17,Tech,SMB
53,2023-05-26,Finance,Enterprise
54,2022-07-21,Finance,SMB
55,2021-09-01,Healthcare,Enterprise
56,2023-04-12,Finance,Enterprise
57,2022-05-20,Healthcare,Enterprise
58,2021-05-11,Tech,Mid
59,2022-04-30,Tech,Mid
60,2023-03-30,Tech,Mid
61,2022-10-09,Tech,Enterprise
62,2021-01-21,Healthcare,Mid
63,2023-04-21,Finance,Mid
64,2021-06-16,Tech,SMB
65,2021-10-01,Finance,Mid
66,2022-01-23,Healthcare,Mid
67,2022-08-24,Healthcare,Enterprise
68,2021-11-12,Healthcare,Enterprise
69,2021-01-14,Tech,Enterprise
70,2021-08-30,Finance,Enterprise
71,2023-02-16,Finance,Enterprise
72,2021-12-12,Finance,Enterprise
73,2022-07-19,Healthcare,Mid
74,2023-06-17,Tech,Enterprise
75,2021-12-06,Healthcare,Enterprise
76,2021-04-02,Healthcare,SMB
77,2022-01-02,Finance,Mid
78,2023-08-14,Healthcare,Mid
79,2022-03-31,Finance,Mid
80,2022-03-04,Tech,Enterprise
81,2022-05-24,Finance,Enterprise
82,2023-02-15,Tech,Enterprise
83,2023-08-01,Finance,SMB
84,2021-02-04,Healthcare,Enterprise
85,2021-07-25,Healthcare,SMB
86,2021-03-22,Tech,Mid
87,2023-07-21,Tech,Enterprise
88,2022-07-16,Tech,SMB
89,2023-05-22,Finance,SMB
90,2022-01-23,Finance,Enterprise
91,2021-01-02,Tech,Mid
92,2022-01-25,Healthcare,Mid
93,2022-07-20,Finance,Mid
94,2021-04-16,Finance,SMB
95,2023-02-11,Finance,SMB
96,2023-04-02,Tech,SMB
97,2022-04-22,Tech,SMB
98,2022-12-04,Tech,Mid
99,2022-02-06,Tech,Enterprise
100,2022-12-31,Tech,SMB
101,2022-07-10,Healthcare,SMB
102,2021-06-11,Healthcare,Mid
103,2021-07-21,Tech,Enterprise
104,2023-08-16,Finance,Enterprise
105,2023-09-23,Tech,Mid
106,2021-09-27,Healthcare,Mid
107,2023-05-13,Healthcare,Enterprise
108,2023-03-27,Finance,SMB
109,2021-09-28,Healthcare,Enterprise
110,2022-04-01,Tech,Mid
111,2022-04-07,Finance,SMB
112,2022-12-28,Tech,SMB
113,2021-09-09,Tech,Mid
114,2022-12-03,Finance,Mid
115,2021-10-23,Tech,Mid
116,2022-12-26,Healthcare,Enterprise
117,2022-12-21,Tech,Enterprise
118,2023-01-19,Finance,SMB
119,2021-12-04,Finance,Mid
120,2023-05-29,Finance,SMB
121,2021-02-22,Tech,SMB
122,2023-03-03,Finance,SMB
123,2023-07-11,Finance,SMB
124,2021-08-05,Tech,Mid
125,2023-02-03,Healthcare,SMB
126,2021-07-07,Tech,Mid
127,2022-01-15,Finance,Mid
128,2022-05-08,Finance,Enterprise
129,2021-02-10,Tech,Mid
130,2021-06-06,Healthcare,Enterprise
131,2021-01-15,Finance,Mid
132,2023-03-24,Finance,Mid
133,2021-03-06,Finance,Mid
134,2023-05-07,Tech,Enterprise
135,2023-04-19,Finance,Enterprise
136,2022-06-05,Healthcare,SMB
137,2021-12-10,Finance,Enterprise
138,2021-05-09,Finance,Enterprise
139,2022-10-10,Healthcare,Enterprise
140,2022-04-17,Finance,Enterprise
141,2021-03-04,Tech,SMB
142,2021-05-19,Tech,Enterprise
143,2022-05-14,Tech,Mid
144,2022-08-16,Healthcare,Mid
145,2022-01-27,Finance,Enterprise
146,2022-11-06,Tech,Enterprise
147,2022-02-23,Healthcare,Mid
148,2021-10-16,Finance,Mid
149,2022-01-14,Healthcare,SMB
150,2023-02-12,Tech,Mid
151,2022-05-05,Tech,Mid
152,2021-08-19,Tech,Enterprise
153,2021-02-10,Healthcare,Mid
154,2021-01-28,Healthcare,SMB
155,2021-05-15,Tech,Mid
156,2021-07-20,Healthcare,Enterprise
157,2023-04-20,Tech,Enterprise
158,2023-02-19,Tech,Mid
159,2023-07-19,Finance,Enterprise
160,2021-02-02,Healthcare,SMB
161,2021-02-17,Tech,SMB
162,2022-05-18,Tech,Mid
163,2022-02-11,Healthcare,Mid
164,2022-07-28,Finance,Mid
165,2022-12-29,Finance,Enterprise
166,2023-03-16,Tech,SMB
167,2021-04-09,Healthcare,SMB
168,2022-11-15,Finance,Enterprise
169,2023-05-22,Healthcare,SMB
170,2022-12-27,Healthcare,Mid
171,2023-09-14,Tech,Mid
172,2022-07-01,Finance,Mid
173,2023-08-19,Tech,SMB
174,2023-01-09,Finance,Mid
175,2022-09-05,Finance,Enterprise
176,2023-08-01,Finance,Enterprise
177,2022-04-07,Finance,SMB
178,2022-10-05,Finance,Enterprise
179,2023-02-08,Healthcare,Enterprise
180,2021-01-05,Tech,SMB
181,2021-08-06,Healthcare,Mid
182,2022-05-18,Finance,Mid
183,2023-02-06,Tech,Mid
184,2022-02-02,Finance,SMB
185,2023-05-21,Tech,Enterprise
186,2023-03-06,Healthcare,Mid
187,2022-01-28,Tech,Mid
188,2021-07-26,Tech,SMB
189,2021-01-15,Tech,Mid
190,2023-05-08,Tech,SMB
191,2022-07-08,Tech,Enterprise
192,2023-06-11,Finance,SMB
193,2022-04-06,Tech,SMB
194,2022-11-22,Tech,SMB
195,2022-07-29,Healthcare,SMB
196,2023-05-14,Tech,Enterprise
197,2023-01-13,Healthcare,Enterprise
198,2021-08-29,Finance,Mid
199,2022-07-18,Tech,Enterprise
200,2021-04-06,Healthcare,Enterprise
201,2023-06-19,Healthcare,Mid
202,2023-01-04,Finance,Enterprise
203,2022-04-30,Tech,SMB
204,2022-02-11,Tech,SMB
205,2021-08-19,Healthcare,Mid
206,2023-01-19,Tech,Mid
207,2022-10-17,Healthcare,Mid
208,2021-06-20,Tech,SMB
209,2022-06-25,Healthcare,Enterprise
210,2021-02-05,Tech,SMB
211,2022-06-09,Finance,Mid
212,2021-06-09,Tech,Enterprise
213,2023-04-19,Tech,Enterprise
214,2022-11-30,Finance,SMB
215,2021-08-31,Tech,Mid
216,2021-03-27,Finance,SMB
217,2023-03-07,Tech,Enterprise
218,2022-08-01,Healthcare,SMB
219,2022-11-13,Healthcare,SMB
220,2022-07-11,Tech,Mid
221,2022-07-28,Tech,Mid
222,2023-08-11,Tech,Enterprise
223,2022-10-08,Healthcare,SMB
224,2023-03-07,Tech,SMB
225,2021-01-28,Healthcare,SMB
226,2022-09-12,Finance,Enterprise
227,2022-07-10,Healthcare,Enterprise
228,2021-12-06,Healthcare,Mid
229,2023-03-09,Finance,Mid
230,2023-08-16,Healthcare,Mid
231,2021-11-27,Tech,SMB
232,2022-10-02,Tech,SMB
233,2022-05-21,Healthcare,Mid
234,2021-12-14,Tech,SMB
235,2022-04-18,Healthcare,Mid
236,2021-08-19,Tech,Enterprise
237,2021-07-09,Tech,Mid
238,2021-08-13,Healthcare,Enterprise
239,2022-01-20,Tech,SMB
240,2022-01-12,Healthcare,Mid
241,2021-10-10,Tech,SMB
242,2023-08-16,Tech,Enterprise
243,2022-09-25,Finance,Enterprise
244,2022-09-20,Finance,Enterprise
245,2023-08-31,Healthcare,SMB
246,2023-01-15,Finance,SMB
247,2021-09-16,Healthcare,SMB
248,2021-12-25,Finance,SMB
249,2022-12-11,Tech,Enterprise
250,2022-04-01,Healthcare,Enterprise
251,2022-02-15,Healthcare,Mid
252,2022-10-11,Tech,Mid
253,2021-11-14,Healthcare,SMB
254,2022-11-08,Healthcare,Enterprise
255,2021-08-13,Finance,Enterprise
256,2023-03-30,Healthcare,Enterprise
257,2021-08-22,Tech,Mid
258,2022-11-15,Finance,Mid
259,2022-10-26,Finance,Enterprise
260,2023-09-02,Tech,Enterprise
261,2023-04-07,Tech,Enterprise
262,2022-01-09,Finance,Mid
263,2022-11-03,Healthcare,Enterprise
264,2022-08-31,Finance,Enterprise
265,2022-04-17,Tech,SMB
266,2021-08-21,Finance,SMB
267,2022-11-23,Tech,Mid
268,2021-04-23,Finance,Enterprise
269,2023-04-10,Healthcare,Enterprise
270,2022-05-12,Finance,SMB
271,2022-03-18,Finance,Mid
272,2022-07-18,Tech,SMB
273,2021-09-25,Tech,SMB
274,2022-05-25,Tech,SMB
275,2023-03-18,Finance,SMB
276,2022-01-21,Healthcare,Enterprise
277,2022-01-22,Tech,Enterprise
278,2021-04-23,Tech,SMB
279,2022-09-05,Finance,Mid
280,2022-09-17,Tech,Mid
281,2023-08-10,Healthcare,Mid
282,2021-03-22,Healthcare,Mid
283,2022-11-30,Tech,SMB
284,2021-04-23,Tech,Enterprise
285,2021-01-02,Finance,Mid
286,2022-10-04,Healthcare,SMB
287,2021-08-08,Healthcare,Mid
288,2022-07-20,Tech,Mid
289,2023-05-05,Finance,SMB
290,2023-09-24,Healthcare,Enterprise
291,2023-01-06,Healthcare,Enterprise
292,2021-08-13,Finance,SMB
293,2022-01-20,Finance,Enterprise
294,2022-02-07,Healthcare,SMB
295,2022-09-30,Healthcare,SMB
296,2021-05-10,Finance,SMB
297,2021-02-22,Healthcare,Enterprise
298,2022-11-15,Tech,SMB
299,2022-12-31,Tech,Mid
300,2022-11-03,Finance,Enterprise
301,2022-12-11,Finance,Enterprise
302,2022-02-20,Finance,Enterprise
303,2021-09-04,Tech,Enterprise
304,2023-04-16,Healthcare,Mid
305,2022-03-15,Tech,Enterprise
306,2021-07-22,Healthcare,Enterprise
307,2021-07-03,Tech,SMB
308,2021-05-03,Healthcare,Enterprise
309,2022-02-05,Tech,Mid
310,2023-02-06,Finance,Mid
311,2021-10-21,Tech,Mid
312,2021-10-07,Healthcare,Mid
313,2023-04-17,Tech,Enterprise
314,2023-06-03,Tech,Enterprise
315,2022-09-02,Tech,Mid
316,2021-07-17,Finance,Mid
317,2023-09-09,Tech,Enterprise
318,2023-06-26,Finance,Mid
319,2022-05-26,Finance,SMB
320,2023-01-22,Tech,Mid
321,2021-05-24,Tech,Mid
322,2022-09-01,Tech,SMB
323,2021-07-20,Healthcare,SMB
324,2021-05-04,Tech,Enterprise
325,2021-07-06,Finance,Enterprise
326,2021-11-22,Tech,SMB
327,2022-04-09,Healthcare,SMB
328,2021-12-15,Tech,Enterprise
329,2023-02-10,Healthcare,Mid
330,2022-10-22,Healthcare,SMB
331,2023-02-03,Tech,Enterprise
332,2023-08-13,Finance,Mid
333,2023-07-21,Healthcare,SMB
334,2022-02-07,Tech,Mid
335,2021-12-12,Tech,Enterprise
336,2023-08-21,Finance,SMB
337,2022-05-26,Healthcare,Mid
338,2021-05-27,Healthcare,SMB
339,2021-05-28,Tech,Mid
340,2023-05-14,Tech,Enterprise
341,2022-12-12,Finance,Enterprise
342,2023-03-31,Finance,SMB
343,2022-05-04,Healthcare,Mid
344,2023-07-18,Healthcare,SMB
345,2023-07-25,Tech,SMB
346,2022-10-02,Healthcare,Mid
347,2022-07-05,Finance,Mid
348,2021-12-04,Finance,Mid
349,2023-05-22,Tech,Enterprise
350,2022-10-03,Finance,SMB
351,2023-02-18,Finance,SMB
352,2023-09-15,Finance,Enterprise
353,2023-08-11,Finance,Mid
354,2022-04-18,Tech,Enterprise
355,2023-08-04,Tech,Enterprise
356,2021-05-31,Healthcare,Enterprise
357,2022-02-19,Finance,SMB
358,2023-09-17,Healthcare,Enterprise
359,2021-10-25,Tech,SMB
360,2022-09-03,Tech,SMB
361,2021-09-20,Tech,SMB
362,2023-02-03,Tech,Mid
363,2021-05-24,Tech,SMB
364,2021-12-12,Tech,SMB
365,2022-09-16,Tech,Mid
366,2022-07-26,Finance,SMB
367,2023-05-31,Healthcare,Enterprise
368,2021-01-02,Tech,Enterprise
369,2023-06-16,Finance,SMB
370,2021-10-31,Finance,Mid
371,2021-09-11,Healthcare,Enterprise
372,2022-10-14,Tech,Mid
373,2022-03-29,Healthcare,Mid
374,2021-02-06,Tech,Enterprise
375,2021-06-09,Finance,Mid
376,2021-01-09,Finance,Enterprise
377,2021-08-21,Finance,Mid
378,2021-04-09,Finance,Enterprise
379,2022-10-21,Healthcare,SMB
380,2023-03-27,Tech,Enterprise
381,2021-07-27,Tech,Enterprise
382,2021-05-11,Healthcare,Enterprise
383,2022-02-08,Tech,Enterprise
384,2021-06-01,Finance,Mid
385,2021-02-23,Tech,SMB
386,2021-04-30,Finance,Enterprise
387,2022-11-04,Healthcare,Mid
388,2023-07-09,Tech,SMB
389,2022-09-20,Healthcare,SMB
390,2022-08-10,Tech,SMB
391,2022-09-17,Finance,SMB
392,2023-08-26,Healthcare,Enterprise
393,2022-02-24,Tech,Enterprise
394,2022-02-26,Finance,Mid
395,2021-04-14,Healthcare,Mid
396,2023-05-02,Healthcare,Mid
397,2021-09-11,Tech,SMB
398,2021-08-15,Tech,SMB
399,2021-04-22,Tech,Enterprise
400,2022-05-25,Finance,SMB
401,2022-04-18,Tech,SMB
402,2021-04-09,Healthcare,SMB
403,2021-06-02,Healthcare,Mid
404,2023-05-11,Tech,Mid
405,2023-07-03,Tech,Enterprise
406,2023-06-15,Healthcare,SMB
407,2023-05-28,Finance,SMB
408,2021-12-04,Tech,Enterprise
409,2022-12-07,Tech,SMB
410,2023-04-02,Healthcare,SMB
411,2021-06-12,Tech,Mid
412,2022-12-21,Finance,Enterprise
413,2023-08-15,Healthcare,Enterprise
414,2022-11-12,Tech,Enterprise
415,2023-09-23,Healthcare,Enterprise
416,2021-06-10,Tech,Mid
417,2022-08-03,Tech,Mid
418,2023-03-12,Tech,SMB
419,2022-02-02,Finance,SMB
420,2021-10-04,Finance,SMB
421,2023-03-27,Healthcare,SMB
422,2023-07-05,Tech,Mid
423,2022-05-19,Tech,Enterprise
424,2023-06-15,Finance,Mid
425,2022-01-27,Tech,SMB
426,2021-05-15,Finance,Mid
427,2021-07-14,Tech,Enterprise
428,2022-02-05,Healthcare,Enterprise
429,2022-10-02,Tech,Mid
430,2021-02-02,Tech,Mid
431,2022-11-19,Finance,Mid
432,2022-04-05,Tech,SMB
433,2023-08-13,Tech,Mid
434,2023-06-02,Finance,Mid
435,2022-04-15,Healthcare,Mid
436,2022-01-10,Healthcare,Enterprise
437,2021-01-22,Finance,Enterprise
438,2023-01-20,Finance,SMB
439,2022-11-01,Finance,SMB
440,2021-02-07,Finance,Enterprise
441,2021-08-18,Finance,Enterprise
442,2021-12-31,Healthcare,Enterprise
443,2022-07-17,Healthcare,Mid
444,2022-03-14,Finance,Mid
445,2023-02-15,Tech,Enterprise
446,2021-10-10,Finance,Mid
447,2021-01-27,Tech,Mid
448,2021-08-14,Finance,SMB
449,2021-10-04,Finance,Enterprise
450,2023-03-09,Healthcare,Enterprise
451,2022-09-01,Tech,Mid
452,2021-10-11,Tech,Enterprise
453,2023-05-29,Healthcare,SMB
454,2023-08-18,Healthcare,SMB
455,2022-04-26,Healthcare,SMB
456,2022-03-29,Healthcare,Enterprise
457,2023-04-09,Tech,Enterprise
458,2023-03-27,Tech,Enterprise
459,2022-10-21,Finance,Enterprise
460,2022-05-31,Finance,Enterprise
461,2022-07-01,Healthcare,SMB
462,2021-07-11,Healthcare,Mid
463,2021-02-18,Healthcare,SMB
464,2022-05-27,Finance,Enterprise
465,2021-01-17,Finance,SMB
466,2021-06-21,Finance,Enterprise
467,2021-08-08,Finance,Enterprise
468,2021-06-07,Finance,SMB
469,2022-04-22,Finance,Enterprise
470,2021-02-15,Finance,Mid
471,2022-01-08,Healthcare,Enterprise
472,2022-06-02,Healthcare,Mid
473,2021-04-09,Healthcare,Mid
474,2023-06-11,Healthcare,Enterprise
475,2023-01-15,Finance,SMB
476,2021-02-06,Tech,Mid
477,2021-10-07,Finance,SMB
478,2021-12-15,Tech,Mid
479,2022-05-12,Healthcare,Enterprise
480,2021-10-29,Finance,Enterprise
481,2021-06-30,Healthcare,Mid
482,2022-08-30,Finance,Enterprise
483,2021-04-09,Healthcare,Mid
484,2022-12-01,Tech,Enterprise
485,2023-09-20,Tech,SMB
486,2021-04-26,Tech,Enterprise
487,2021-07-10,Finance,SMB
488,2021-09-10,Tech,Enterprise
489,2023-09-08,Finance,SMB
490,2023-07-17,Tech,Enterprise
491,2023-09-10,Tech,SMB
492,2021-06-10,Finance,Mid
493,2021-09-13,Finance,Mid
494,2021-11-19,Tech,SMB
495,2021-05-08,Finance,Enterprise
496,2021-01-18,Tech,SMB
497,2023-03-04,Finance,Enterprise
498,2023-01-05,Healthcare,Mid
499,2022-07-20,Healthcare,Enterprise
500,2022-07-24,Healthcare,Mid
